source,format,sizeBytes,version,sections,pageCount,paraCount,textCharCount,title,warnings,error,exitClass,textCountError
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9901_기술혁신과 정부구매제도(송종국)/I99-01.hwp,hwp3,355892,3.0.0.0,1,194,1195,181229,기술혁신과 정부구매제도,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9901_기술혁신과 정부구매제도(송종국)/정오표.hwp,hwp3,31864,3.0.0.0,1,3,87,3775,재경부 재경부 재경부 재경부 재경부 재경부 재경부 재경부 재경부 재경부 재경부,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9902_ASEM내 과학기술협력 활성화 방안 한국의 역할 및 추진방안을 중심으로(이명진)/본문.hwp,hwp3,304230,3.0.0.0,1,138,1869,118530,제출문,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9902_ASEM내 과학기술협력 활성화 방안 한국의 역할 및 추진방안을 중심으로(이명진)/표지.hwp,hwp3,24244,3.0.0.0,1,2,27,235,정책연구 99-07,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9903_지식기반경제를 위한 새로운 과학기술 지표 개발(신태영)/I99-03.hwp,hwp3,315317,3.0.0.0,1,109,811,106409,정책연구 99-18,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9905_동북아 과학기술협력의 중장기 추진전략(홍성범)/B-j3195(a).hwp,hwp3,534580,3.0.0.0,1,171,1713,172577,정책연구 99-10,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9905_동북아 과학기술협력의 중장기 추진전략(홍성범)/B-j3195(b).hwp,hwp3,548894,3.0.0.0,1,197,1800,174676,대외경제정책연구원,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9906_러시아 인력교류사업의 성과분석 및 효율적 활용체제 구축을 위한 기획조사 연구(홍성범)/I99-06.hwp,hwp3,383793,3.0.0.0,1,153,1477,162131,러시아 인력교류사업의 성과분석 및 효율적,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9907_러시아와의 기초과학분야 협력증진방안 연구(홍성범)/B-j3277a.hwp,hwp3,501744,3.0.0.0,1,289,3426,313243,정책연구 99-20,[],,,
40년 기관 생산 발간물/5. 수탁연구/1999년 수탁과제 최종보고서(20건)/I-9907_러시아와의 기초과학분야 협력증진방안 연구(홍성범)/B-j3277b.hwp,hwp3,25593,3.0.0.0,1,1,4,42,"<그림 2-2> 러시아 연방 과학기술 예산구조(국방예산제외, 1997)",[],,,
