source_scope,path,full_path,source_archive,category,year,extension,logical_type,size_bytes,size_human
original_tar_extracted,10. STEPI Outlook/[STEPI Outlook-2]STEPI_Outlook_2020.pdf,40년 기관 생산 발간물/10. STEPI Outlook/[STEPI Outlook-2]STEPI_Outlook_2020.pdf,,10. STEPI Outlook,2020,pdf,PDF,10729193,10.2MB
original_tar_extracted,10. STEPI Outlook/[STEPI Outlook-1]STEPI_Outlook_2019.pdf,40년 기관 생산 발간물/10. STEPI Outlook/[STEPI Outlook-1]STEPI_Outlook_2019.pdf,,10. STEPI Outlook,2019,pdf,PDF,33333950,31.8MB
original_tar_extracted,10. STEPI Outlook/[STEPI Outlook-7]STEPI_Outlook_2025_접근성추가.pdf,40년 기관 생산 발간물/10. STEPI Outlook/[STEPI Outlook-7]STEPI_Outlook_2025_접근성추가.pdf,,10. STEPI Outlook,2025,pdf,PDF,34493399,32.9MB
original_tar_extracted,10. STEPI Outlook/[STEPI Outlook-4]STEPI_Outlook_2022_펼침_웹용.pdf,40년 기관 생산 발간물/10. STEPI Outlook/[STEPI Outlook-4]STEPI_Outlook_2022_펼침_웹용.pdf,,10. STEPI Outlook,2022,pdf,PDF,8406203,8.0MB
original_tar_extracted,10. STEPI Outlook/[STEPI Outlook-5]STEPI_Outlook_2023.pdf,40년 기관 생산 발간물/10. STEPI Outlook/[STEPI Outlook-5]STEPI_Outlook_2023.pdf,,10. STEPI Outlook,2023,pdf,PDF,8011745,7.6MB
original_tar_extracted,10. STEPI Outlook/[STEPI Outlook-3]STEPI_Outlook_2021.pdf,40년 기관 생산 발간물/10. STEPI Outlook/[STEPI Outlook-3]STEPI_Outlook_2021.pdf,,10. STEPI Outlook,2021,pdf,PDF,4068507,3.9MB
original_tar_extracted,10. STEPI Outlook/[STEPI Outlook-6]STEPI_Outlook_2024_접근성추가.pdf,40년 기관 생산 발간물/10. STEPI Outlook/[STEPI Outlook-6]STEPI_Outlook_2024_접근성추가.pdf,,10. STEPI Outlook,2024,pdf,PDF,9892520,9.4MB
original_tar_extracted,10. STEPI Outlook/[STEPI Outlook-8]STEPI_Outlook_2026.pdf,40년 기관 생산 발간물/10. STEPI Outlook/[STEPI Outlook-8]STEPI_Outlook_2026.pdf,,10. STEPI Outlook,2026,pdf,PDF,16053653,15.3MB
original_tar_extracted,15. Working Paper/2008/[Working Paper-2]사회적 목표 지향적 혁신정책의 특성과 함의.pdf,40년 기관 생산 발간물/15. Working Paper/2008/[Working Paper-2]사회적 목표 지향적 혁신정책의 특성과 함의.pdf,,15. Working Paper,2008,pdf,PDF,570000,556.6KB
original_tar_extracted,15. Working Paper/2008/[Working Paper-3]공공연구기관의 기술이전 활성화 전략.pdf,40년 기관 생산 발간물/15. Working Paper/2008/[Working Paper-3]공공연구기관의 기술이전 활성화 전략.pdf,,15. Working Paper,2008,pdf,PDF,505317,493.5KB
original_tar_extracted,15. Working Paper/2008/[Working Paper-4]R&D Investment and Job Creation in Korea.pdf,40년 기관 생산 발간물/15. Working Paper/2008/[Working Paper-4]R&D Investment and Job Creation in Korea.pdf,,15. Working Paper,2008,pdf,PDF,414133,404.4KB
