path,extension,logical_type,size_bytes,size_human
3. 수시연구/2019/[수시연구-236]글로벌 프론티어 과학기술혁신정책 조사 및 국내적용 방안 탐색.zip__extracted/J19-01-04.pdf,pdf,PDF,3076158,2.9MB
3. 수시연구/2019/[수시연구-236]글로벌 프론티어 과학기술혁신정책 조사 및 국내적용 방안 탐색.zip__extracted/J19-01-03.pdf,pdf,PDF,5987537,5.7MB
3. 수시연구/2019/[수시연구-236]글로벌 프론티어 과학기술혁신정책 조사 및 국내적용 방안 탐색.zip__extracted/J19-01-01.pdf,pdf,PDF,3347176,3.2MB
3. 수시연구/2019/[수시연구-236]글로벌 프론티어 과학기술혁신정책 조사 및 국내적용 방안 탐색.zip__extracted/J19-01-02.pdf,pdf,PDF,13074699,12.5MB
3. 수시연구/2005/[수시연구-92]지역별 산업별 혁신역량 분석('01-'03).zip__extracted/J05-24.ppt,ppt,PowerPoint,8199680,7.8MB
3. 수시연구/2010/[수시연구-200]G20 주요국의 국가혁신체제 동향 및 특성 조사 분석.zip__extracted/J10-02-01.PDF,pdf,PDF,8974709,8.6MB
3. 수시연구/2010/[수시연구-200]G20 주요국의 국가혁신체제 동향 및 특성 조사 분석.zip__extracted/J10-02-02.PDF,pdf,PDF,6355280,6.1MB
5. 수탁연구/2022년 수탁과제 최종보고서(30건)/I0222300_임덕순_2022년도 한-인니 산업혁신 연구협력사업 공동연구.zip__extracted/최종제출본_[한인니 산업혁신 연구협력] STEPI 최종보고서_국문.hwp,hwp,HWP/HWPX,36585984,34.9MB
5. 수탁연구/2022년 수탁과제 최종보고서(30건)/I0222300_임덕순_2022년도 한-인니 산업혁신 연구협력사업 공동연구.zip__extracted/최종제출본_[한인니 산업혁신 연구협력] STEPI 최종보고서_영문.docx,docx,Word/RTF,20261529,19.3MB
5. 수탁연구/2022년 수탁과제 최종보고서(30건)/I0222300_임덕순_2022년도 한-인니 산업혁신 연구협력사업 공동연구.zip__extracted/최종제출본_[한인니 산업혁신 연구협력] STEPI 최종보고서_국문.pdf,pdf,PDF,11767421,11.2MB
5. 수탁연구/2022년 수탁과제 최종보고서(30건)/I0222300_임덕순_2022년도 한-인니 산업혁신 연구협력사업 공동연구.zip__extracted/최종제출본_[한인니 산업혁신 연구협력] STEPI 최종보고서_영문.pdf,pdf,PDF,9206897,8.8MB
5. 수탁연구/2022년 수탁과제 최종보고서(30건)/I0222100_김선우_2022년 중소기업 기술혁신 정책연구 사업.zip__extracted/2022년 중소기업 기술혁신 정책연구 사업(웹용_한글)/제4권 중소기업 기술혁신역량 분석 및 생태계 모니터링 사업.hwp,hwp,HWP/HWPX,32655360,31.1MB
5. 수탁연구/2022년 수탁과제 최종보고서(30건)/I0222100_김선우_2022년 중소기업 기술혁신 정책연구 사업.zip__extracted/2022년 중소기업 기술혁신 정책연구 사업(웹용_한글)/제3권 5차 중소기업 기술혁신 촉진계획 사전기획 연구.hwp,hwp,HWP/HWPX,9520640,9.1MB
5. 수탁연구/2022년 수탁과제 최종보고서(30건)/I0222100_김선우_2022년 중소기업 기술혁신 정책연구 사업.zip__extracted/2022년 중소기업 기술혁신 정책연구 사업(웹용_한글)/제2권 KOSBIR 성과분석 및 중장기 발전방안.hwp,hwp,HWP/HWPX,12954624,12.4MB
5. 수탁연구/2022년 수탁과제 최종보고서(30건)/I0222100_김선우_2022년 중소기업 기술혁신 정책연구 사업.zip__extracted/2022년 중소기업 기술혁신 정책연구 사업(웹용_한글)/제1권 중소기업 R&D 확대 및 효율화 방안.hwp,hwp,HWP/HWPX,6878208,6.6MB
5. 수탁연구/2022년 수탁과제 최종보고서(30건)/I0222100_김선우_2022년 중소기업 기술혁신 정책연구 사업.zip__extracted/2022년 중소기업 기술혁신 정책연구 사업(웹용_PDF)/제2권_KOSBIR 성과분석 및 중장기 발전방안.pdf,pdf,PDF,7143267,6.8MB
5. 수탁연구/2013년 수탁과제 최종보고서(52건)/정기철_G0130300_상주연구원 파견을 통한 식량 작물 및 채소 안전생산 연구체계 구축의 파급효과 분석.Zip__extracted/[2013.11.08]_3._AVRDC.pdf,pdf,PDF,3066275,2.9MB
5. 수탁연구/2013년 수탁과제 최종보고서(52건)/정기철_G0130300_상주연구원 파견을 통한 식량 작물 및 채소 안전생산 연구체계 구축의 파급효과 분석.Zip__extracted/[2013.11.08]_5._CIMMYT.pdf,pdf,PDF,2299204,2.2MB
5. 수탁연구/2013년 수탁과제 최종보고서(52건)/정기철_G0130300_상주연구원 파견을 통한 식량 작물 및 채소 안전생산 연구체계 구축의 파급효과 분석.Zip__extracted/[2013.11.08]_1._총론.pdf,pdf,PDF,3691642,3.5MB
5. 수탁연구/2013년 수탁과제 최종보고서(52건)/정기철_G0130300_상주연구원 파견을 통한 식량 작물 및 채소 안전생산 연구체계 구축의 파급효과 분석.Zip__extracted/[2013.11.08]_2._CIP.pdf,pdf,PDF,2740608,2.6MB
5. 수탁연구/2013년 수탁과제 최종보고서(52건)/정기철_G0130300_상주연구원 파견을 통한 식량 작물 및 채소 안전생산 연구체계 구축의 파급효과 분석.Zip__extracted/[2013.11.08]_4._IRRI.pdf,pdf,PDF,2767407,2.6MB
5. 수탁연구/2025년 수탁과제 최종보고서(34건)/I0250400_김선우_최종보고서(1~7권)_2025년 중소기업 기술혁신 정책연구사업.zip__extracted/(6권) 중소기업 인공지능 데이터 활용확산 방안 연구_내지.hwp,hwp,HWP/HWPX,26396672,25.2MB
5. 수탁연구/2025년 수탁과제 최종보고서(34건)/I0250400_김선우_최종보고서(1~7권)_2025년 중소기업 기술혁신 정책연구사업.zip__extracted/(4권) 2025년 중소기업혁신조사·분석 서비스업_내지.hwp,hwp,HWP/HWPX,23688192,22.6MB
5. 수탁연구/2025년 수탁과제 최종보고서(34건)/I0250400_김선우_최종보고서(1~7권)_2025년 중소기업 기술혁신 정책연구사업.zip__extracted/(3권) 2025년 KOSBIR 현황 및 성과분석 고도화_최종인쇄본_내지.hwp,hwp,HWP/HWPX,6938112,6.6MB
